"customer_num","renewed","zip_code","purchase_month"
2630930,1,10034,"AUG"
3670305,1,10039,"JUN"
3147884,1,10076,"DEC"
2054803,1,10081,"OCT"
3882598,1,10111,"NOV"
3590192,1,10115,"AUG"
2466064,1,10121,"MAR"
1309797,1,10124,"MAY"
1224293,0,10126,"MAR"
2214499,1,10135,"OCT"
3092692,1,10138,"NOV"
2292926,1,10154,"JUL"
2986253,1,10205,"MAR"
1509481,1,10212,"MAY"
1247716,1,10230,"DEC"
2689313,1,10232,"SEP"
3481065,1,10242,"JUL"
3351125,1,10312,"JAN"
3939177,1,10313,"APR"
2483167,1,10315,"NOV"
3543677,1,10328,"AUG"
3092376,0,10355,"JUL"
2301609,1,10418,"MAY"
3970782,1,10427,"FEB"
2227946,0,10455,"MAR"
3956461,1,10468,"JAN"
1753522,1,10506,"MAY"
1151166,1,10531,"SEP"
3660630,1,10570,"OCT"
1055754,1,10577,"APR"
1815412,0,10597,"AUG"
3748552,1,10623,"MAY"
2805521,1,10630,"JUL"
3297331,1,10651,"SEP"
3459818,1,10653,"FEB"
3743459,1,10654,"OCT"
2950317,0,10668,"MAY"
3965544,0,10676,"APR"
3793081,1,10683,"OCT"
2477812,1,10693,"JUN"
2816796,1,10741,"APR"
3760578,0,10747,"NOV"
1130696,1,10748,"MAY"
1161861,1,10770,"AUG"
1995741,1,10773,"OCT"
1030671,1,10795,"FEB"
2800440,0,10844,"DEC"
1347824,0,10846,"JUL"
3196638,1,10880,"AUG"
1955899,1,10898,"AUG"
3986925,1,10964,"NOV"
3875906,1,10975,"OCT"
1980548,1,10983,"NOV"
2357344,1,11023,"DEC"
2141038,1,11030,"NOV"
3973163,1,11040,"AUG"
2442521,0,11091,"DEC"
1945411,1,11096,"DEC"
1369172,1,11100,"MAY"
2856701,1,11125,"NOV"
3713492,1,11162,"SEP"
2380680,0,11167,"DEC"
3803476,1,11216,"DEC"
1364009,1,11231,"FEB"
3449579,1,11274,"OCT"
1389821,1,11284,"MAY"
1836929,0,11287,"OCT"
3589662,1,11293,"NOV"
2553252,1,11295,"JUL"
2912627,1,11306,"OCT"
1235809,1,11360,"OCT"
1764719,1,11374,"JAN"
3576065,1,11380,"JUN"
3852091,0,11397,"NOV"
1781650,1,11423,"APR"
2119431,1,11462,"MAR"
2223414,1,11479,"JAN"
3230528,1,11482,"JUN"
1615811,1,11489,"MAR"
3979623,1,11504,"OCT"
2925463,1,11556,"MAY"
1476807,1,11579,"MAR"
1862751,1,11651,"JUL"
3892762,1,11658,"JUN"
3976805,1,11710,"MAY"
3093415,1,11725,"FEB"
2336668,1,11768,"AUG"
2107218,1,11786,"OCT"
2136185,1,11842,"JUN"
3088744,0,11849,"MAY"
2387514,1,11857,"APR"
2337138,1,11891,"AUG"
3283875,0,11908,"MAY"
2049575,1,11917,"JUN"
2339400,1,11935,"JUL"
1608431,1,11952,"JUN"
1478986,0,11969,"APR"
1531018,1,11973,"MAY"
2893337,1,11996,"MAY"
3963258,1,12002,"DEC"
2841303,1,12010,"OCT"
1888568,1,12043,"APR"
2957238,1,12045,"SEP"
3862607,1,12058,"JUL"
1576892,1,12059,"JAN"
1380318,1,12074,"NOV"
2285317,0,12076,"MAR"
1547616,1,12132,"FEB"
1316239,1,12135,"DEC"
3627342,1,12161,"JUN"
1719347,1,12173,"MAR"
1118108,0,12192,"DEC"
2156450,0,12208,"MAY"
1535940,1,12226,"APR"
3003832,1,12229,"NOV"
3445752,1,12245,"APR"
3499046,1,12247,"JUN"
2370315,1,12304,"APR"
2429871,1,12326,"MAY"
2024238,1,12349,"JUN"
3481801,1,12369,"JAN"
3596543,1,12402,"JUN"
1516627,1,12406,"NOV"
1104525,1,12423,"NOV"
1063582,1,12434,"JAN"
3373247,1,12441,"JUL"
1604285,1,12443,"JUN"
2468816,1,12452,"JUN"
2762210,1,12472,"APR"
2593982,1,12486,"NOV"
2472472,1,12510,"SEP"
1518098,1,12521,"FEB"
1717930,1,12534,"AUG"
3480792,1,12535,"SEP"
3248667,1,12538,"FEB"
2230946,1,12552,"JAN"
3247528,1,12564,"JUN"
2653879,1,12572,"FEB"
1331962,1,12621,"JUN"
3821425,1,12650,"NOV"
3532902,1,12656,"APR"
2227389,1,12662,"FEB"
1242225,1,12663,"NOV"
1989046,0,12720,"NOV"
3980634,1,12722,"JUL"
1021682,1,12728,"AUG"
1543322,1,12734,"OCT"
2529358,0,12749,"MAR"
2541138,1,12754,"JUN"
1030198,1,12770,"JUN"
2275002,1,12773,"JUL"
3216767,1,12783,"JUN"
3677830,0,12791,"FEB"
1104561,0,12792,"JAN"
2533802,1,12800,"FEB"
1733016,1,12802,"SEP"
3930455,1,12808,"DEC"
1494869,1,12847,"JUL"
2470370,1,12857,"JUN"
3291580,1,12859,"OCT"
1744266,1,12886,"MAY"
1101059,0,12891,"JUN"
1816529,1,12911,"MAY"
2947422,1,12918,"DEC"
1638413,1,12926,"JUN"
1196882,0,12927,"NOV"
1875141,1,12935,"AUG"
3926658,1,12952,"JUL"
3853033,1,12956,"JUN"
2835379,1,12984,"SEP"
2455861,1,12986,"DEC"
3126348,1,12990,"AUG"
2295391,1,13009,"MAR"
2033222,1,13014,"JUL"
3651541,1,13087,"JUN"
2626374,1,13124,"FEB"
3340896,1,13166,"OCT"
1527263,1,13186,"APR"
3813430,1,13196,"MAY"
2989234,0,13218,"APR"
1639123,1,13222,"MAR"
2004657,1,13243,"APR"
2224338,0,13249,"MAR"
2442980,1,13251,"FEB"
2788994,1,13315,"JUN"
3929421,1,13323,"DEC"
1200203,1,13370,"SEP"
3987828,1,13371,"APR"
3059907,0,13383,"MAR"
3349176,1,13460,"MAY"
2766002,1,13467,"APR"
3459093,1,13493,"JUL"
1055806,1,13504,"OCT"
1854422,1,13548,"MAR"
1404959,1,13572,"OCT"
1940376,1,13622,"NOV"
3032706,1,13644,"JUL"
3852632,1,13668,"APR"
2331723,1,13677,"JUL"
2723174,1,13682,"MAY"
1000406,1,13698,"MAY"
1472411,1,13699,"FEB"
1295996,1,13702,"MAY"
3323815,0,13705,"AUG"
1005653,1,13741,"AUG"
1226864,1,13765,"NOV"
2646580,1,13799,"JUL"
2484539,1,13803,"OCT"
3649386,1,13830,"JUN"
1606141,1,13858,"APR"
3501805,0,13861,"NOV"
2536415,1,13865,"DEC"
1269630,1,13881,"APR"
3569029,1,13887,"MAY"
3545566,1,13889,"NOV"
2196356,1,13894,"JAN"
2151488,1,13920,"APR"
2634948,1,13942,"SEP"
2710892,1,13945,"AUG"
3108711,1,13970,"FEB"
3928098,1,13972,"JUL"
2448590,1,14008,"MAR"
3230588,1,14011,"MAR"
2942989,1,14110,"JUL"
2481541,1,14136,"SEP"
3402211,1,14140,"AUG"
2959195,1,14183,"MAY"
3516555,1,14194,"SEP"
2212645,1,14217,"OCT"
3357773,1,14265,"OCT"
2497376,1,14284,"JAN"
1089841,1,14312,"MAY"
2051135,1,14322,"MAR"
2133822,1,14333,"DEC"
2699782,1,14340,"FEB"
2853084,1,14348,"AUG"
1176319,1,14351,"SEP"
2467033,1,14382,"MAY"
2351501,0,14390,"DEC"
1747522,1,14413,"JAN"
1260107,1,14423,"AUG"
2311886,1,14490,"OCT"
2492374,0,14511,"FEB"
3430656,1,14512,"APR"
3852792,0,14530,"MAR"
1640718,1,14531,"MAY"
2810234,1,14532,"SEP"
1068288,1,14553,"FEB"
1050657,1,14556,"SEP"
3010098,1,14567,"MAR"
3756848,1,14596,"MAY"
1922490,1,14606,"DEC"
2330131,1,14614,"JAN"
1899335,0,14630,"MAR"
3392073,1,14642,"MAY"
3493101,1,14681,"MAR"
1065472,1,14698,"AUG"
1734721,1,14711,"AUG"
3554660,1,14736,"JUN"
1581860,1,14775,"AUG"
1919589,1,14842,"AUG"
3993837,1,14846,"SEP"
1735859,1,14852,"JUN"
2353440,1,14893,"JAN"
2592387,1,14915,"MAY"
1027529,1,14966,"OCT"
3196315,1,14970,"FEB"
3832646,1,15004,"APR"
3586513,0,15005,"MAY"
3817020,1,15034,"NOV"
3553294,0,15054,"APR"
3339930,1,15097,"JUN"
3780963,1,15108,"APR"
3982443,0,15116,"AUG"
1909998,1,15140,"AUG"
1304462,0,15142,"NOV"
2331691,1,15164,"AUG"
2697878,1,15167,"JUN"
2155582,1,15173,"JAN"
1685610,1,15199,"MAY"
3182783,1,15209,"MAY"
3520698,1,15255,"JAN"
1607795,1,15297,"AUG"
2526829,1,15315,"AUG"
3244485,1,15349,"MAR"
2801263,1,15356,"JUN"
1491185,1,15372,"MAY"
2282336,1,15404,"OCT"
2699933,1,15435,"JUL"
1319465,0,15455,"DEC"
2744439,1,15463,"JUL"
2039871,1,15479,"OCT"
1898960,1,15485,"JUL"
1716521,1,15494,"FEB"
2736780,1,15495,"MAR"
2529979,1,15500,"AUG"
1568373,1,15502,"APR"
3002298,1,15509,"JUN"
2042319,1,15543,"MAR"
3110619,1,15556,"MAR"
2580369,1,15570,"JUN"
3447234,1,15578,"SEP"
3711851,1,15581,"OCT"
3883919,1,15601,"NOV"
1451506,1,15647,"AUG"
3556403,1,15683,"APR"
2435715,1,15685,"JUL"
2377409,0,15689,"DEC"
1221153,0,15697,"SEP"
3249876,1,15708,"AUG"
3597164,1,15721,"MAY"
2193175,0,15722,"NOV"
2991747,1,15753,"MAR"
1461688,1,15788,"JAN"
2422959,1,15796,"JUN"
